,importance_mean
coverage_type,0.056293964313585965
risk_score_external,0.03305213868965774
driver_per_vehicle,0.0206343071622346
vehicle_count,0.013944245950637845
driver_count,0.00951280240811626
late_payment_count,0.00892032936404703
prior_apd_claim_count,0.007041934987232068
prior_year_mileage_000,0.005669797146998068
business_type_clean,0.003938140717656857
num_heavy_vehicles,0.00247288480221699
state,0.0019779893078789024
prior_al_claim_count,0.0006476855858103536
years_in_business,0.000586951789894996
deductible,0.000315030021819529
prior_loss_amount,0.0002454834548185847
loss_to_limit_ratio,-0.00017370715055509134
heavy_vehicle_ratio,-0.00033148760637707886
driver_avg_age,-0.000596083094875377
coverage_limit_000,-0.0005962954508051066
annual_premium,-0.0009224741589378471
vehicle_avg_age,-0.0012270987401984956
